path,category,action,grade,width,height,target_w,target_h,frame_w,frame_h,target_size_kb,bundle,atlas_group,state,reason
bosses/finalboss/abyss/boss_abyssoverlord_death.png,bosses,defer,A,64,256,64,256,64,64,30,bundle_boss_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/abyss/boss_abyssoverlord_phasechange.png,bosses,defer,A,64,320,64,256,64,64,30,bundle_boss_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/catacombs/boss_skeletonlord_death.png,bosses,defer,A,64,256,64,256,64,64,30,bundle_boss_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/catacombs/boss_skeletonlord_phasechange.png,bosses,defer,A,64,320,64,256,64,64,30,bundle_boss_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/forest/boss_forestguardian_death.png,bosses,defer,A,64,256,64,256,64,64,30,bundle_boss_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/forest/boss_forestguardian_phasechange.png,bosses,defer,A,64,320,64,256,64,64,30,bundle_boss_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/swamp/boss_swampbehemoth_death.png,bosses,defer,A,64,256,64,256,64,64,30,bundle_boss_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/swamp/boss_swampbehemoth_phasechange.png,bosses,defer,A,64,320,64,256,64,64,30,bundle_boss_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/tundra/boss_frostqueen_death.png,bosses,defer,A,64,256,64,256,64,64,30,bundle_boss_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/tundra/boss_frostqueen_phasechange.png,bosses,defer,A,64,320,64,256,64,64,30,bundle_boss_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/volcano/boss_firelord_death.png,bosses,defer,A,64,256,64,256,64,64,30,bundle_boss_volcano,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/volcano/boss_firelord_phasechange.png,bosses,defer,A,64,320,64,256,64,64,30,bundle_boss_volcano,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/combat/fx_dodge.png,effects,defer,B,32,128,192,768,32,64,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_burn.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_conduct.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_corrode.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_decay.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_freeze.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_melt.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_overload.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_radiance.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_shatter.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_vaporize.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/reactions/fx_reaction_void.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/relics/fx_relic_blink_stone.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/relics/fx_relic_decoy_scroll.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/relics/fx_relic_flame_ring.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/relics/fx_relic_frost_amulet.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/relics/fx_relic_gravity_stone.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/relics/fx_relic_life_link.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/relics/fx_relic_shadow_dagger.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/relics/fx_relic_time_hourglass.png,effects,defer,B,64,256,192,768,64,256,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/ui/fx_ui_glow.png,effects,defer,B,64,192,192,576,64,48,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
effects/ui/fx_ui_loading.png,effects,defer,B,64,192,192,576,64,48,40,bundle_effects,,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_blinkstone.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_decoyscroll.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_echoorb.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_flamering.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_frenzyaxe.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_frostamulet.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_gravitystone.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_immortalstone.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_ironarmor.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_lifelink.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_luckycoin.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_shadowcloak.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
icons/relics/icon_relic_shadowdagger.png,icons,merge_atlas,A,64,64,128,128,64,64,8,bundle_ui,atlas_icons_common,same_as_old_backup,old_resource_copied_or_not_replaced
