resource,risks,action_taken
upgrade/icon_relic_frenzyaxe.png,SKULL_SUSPECT(white=9.4% dark=5.4%) | TEXT_EDGES_SUSPECT(edge_ratio=13.1%) | CHROMA_RESIDUE(count=1472) | HARD_ALPHA_EDGE(partial=33.6%),pending_review
upgrade/icon_relic_frostamulet.png,TEXT_EDGES_SUSPECT(edge_ratio=17.1%) | CHROMA_RESIDUE(count=12081) | HARD_ALPHA_EDGE(partial=21.2%),pending_review
upgrade/icon_relic_gravitystone.png,SKULL_SUSPECT(white=16.5% dark=3.2%) | TEXT_EDGES_SUSPECT(edge_ratio=8.4%) | CHROMA_RESIDUE(count=977) | HARD_ALPHA_EDGE(partial=20.9%),pending_review
upgrade/icon_relic_immortalstone.png,CHROMA_RESIDUE(count=1377) | HARD_ALPHA_EDGE(partial=20.8%),pending_review
upgrade/icon_relic_ironarmor.png,SKULL_SUSPECT(white=13.0% dark=8.6%) | CHROMA_RESIDUE(count=4526),pending_review
upgrade/icon_relic_lifelink.png,SKULL_SUSPECT(white=28.8% dark=3.8%) | TEXT_EDGES_SUSPECT(edge_ratio=8.9%) | CHROMA_RESIDUE(count=8623),pending_review
upgrade/icon_relic_luckycoin.png,CHROMA_RESIDUE(count=1522) | HARD_ALPHA_EDGE(partial=17.0%),pending_review
upgrade/icon_relic_shadowcloak.png,CHROMA_RESIDUE(count=1635) | HARD_ALPHA_EDGE(partial=16.8%),pending_review
upgrade/icon_relic_shadowdagger.png,SKULL_SUSPECT(white=9.4% dark=6.7%) | TEXT_EDGES_SUSPECT(edge_ratio=20.8%) | CHROMA_RESIDUE(count=1269) | HARD_ALPHA_EDGE(partial=27.4%),pending_review
upgrade/icon_relic_speedgauntlet.png,SKULL_SUSPECT(white=30.0% dark=2.0%) | CHROMA_RESIDUE(count=5564),pending_review
upgrade/icon_relic_thornarmor.png,SKULL_SUSPECT(white=5.2% dark=19.0%) | TEXT_EDGES_SUSPECT(edge_ratio=11.9%) | CHROMA_RESIDUE(count=5318),pending_review
upgrade/icon_relic_timehourglass.png,TEXT_EDGES_SUSPECT(edge_ratio=13.5%) | CHROMA_RESIDUE(count=6348) | HARD_ALPHA_EDGE(partial=19.6%),pending_review
upgrade/icon_upgrade_agileboots.png,SKULL_SUSPECT(white=7.7% dark=36.7%) | TEXT_EDGES_SUSPECT(edge_ratio=15.7%) | CHROMA_RESIDUE(count=1222),pending_review
upgrade/icon_upgrade_greedring.png,SKULL_SUSPECT(white=16.8% dark=50.6%) | TEXT_EDGES_SUSPECT(edge_ratio=10.8%) | CHROMA_RESIDUE(count=147),pending_review
upgrade/icon_upgrade_ironwall.png,SKULL_SUSPECT(white=5.7% dark=16.7%) | CHROMA_RESIDUE(count=1627),pending_review
upgrade/icon_upgrade_lifecharm.png,TEXT_EDGES_SUSPECT(edge_ratio=13.1%) | CHROMA_RESIDUE(count=1781),pending_review
upgrade/icon_upgrade_longarm.png,TEXT_EDGES_SUSPECT(edge_ratio=13.7%) | CHROMA_RESIDUE(count=1672),pending_review
upgrade/icon_upgrade_meleeboost.png,TEXT_EDGES_SUSPECT(edge_ratio=10.6%) | CHROMA_RESIDUE(count=452),pending_review
upgrade/icon_upgrade_movespeed.png,SKULL_SUSPECT(white=58.8% dark=3.6%) | TEXT_EDGES_SUSPECT(edge_ratio=12.2%),pending_review
upgrade/icon_upgrade_rangedboost.png,SKULL_SUSPECT(white=76.0% dark=1.4%) | TEXT_EDGES_SUSPECT(edge_ratio=9.3%),pending_review
upgrade/icon_upgrade_skillslot.png,TEXT_EDGES_SUSPECT(edge_ratio=8.5%),pending_review
upgrade/icon_upgrade_windstep.png,SKULL_SUSPECT(white=13.4% dark=38.9%) | TEXT_EDGES_SUSPECT(edge_ratio=12.6%) | CHROMA_RESIDUE(count=3376),pending_review
upgrade/upgrade_bg.jpg,SKULL_SUSPECT(white=22.7% dark=3.2%) | CHROMA_RESIDUE(count=28994),pending_review
